Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,MATCHUP
Robert Williams III,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,"OCT 30, 2018 - BOS vs. DET"
Guerschon Yabusele,2.9833333333333334,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,"OCT 30, 2018 - BOS vs. DET"
Gordon Hayward F,23.7,6.0,11.0,54.5,2.0,5.0,40.0,1.0,3.0,33.3,0.0,5.0,5.0,1.0,3.0,1.0,0.0,3.0,15.0,18.0,"OCT 27, 2018 - BOS @ DET"
Jayson Tatum F,28.316666666666666,2.0,9.0,22.2,1.0,2.0,50.0,1.0,2.0,50.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,6.0,5.0,"OCT 27, 2018 - BOS @ DET"
Al Horford C,20.7,2.0,8.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,"OCT 27, 2018 - BOS @ DET"
Jaylen Brown G,25.25,6.0,13.0,46.2,3.0,7.0,42.9,4.0,6.0,66.7,0.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,19.0,24.0,"OCT 27, 2018 - BOS @ DET"
Kyrie Irving G,23.45,1.0,5.0,20.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,2.0,1.0,1.0,1.0,3.0,13.0,"OCT 27, 2018 - BOS @ DET"
Marcus Morris Sr.,24.866666666666667,7.0,12.0,58.3,3.0,6.0,50.0,1.0,1.0,100.0,1.0,7.0,8.0,1.0,1.0,0.0,0.0,3.0,18.0,15.0,"OCT 27, 2018 - BOS @ DET"
Marcus Smart,23.316666666666666,1.0,3.0,33.3,0.0,0.0,0.0,3.0,3.0,100.0,0.0,4.0,4.0,9.0,1.0,0.0,1.0,3.0,5.0,17.0,"OCT 27, 2018 - BOS @ DET"
Daniel Theis,19.316666666666666,7.0,9.0,77.8,2.0,3.0,66.7,1.0,2.0,50.0,3.0,5.0,8.0,1.0,2.0,0.0,0.0,4.0,17.0,20.0,"OCT 27, 2018 - BOS @ DET"
Terry Rozier,27.35,4.0,8.0,50.0,2.0,3.0,66.7,4.0,4.0,100.0,0.0,8.0,8.0,2.0,0.0,0.0,0.0,2.0,14.0,15.0,"OCT 27, 2018 - BOS @ DET"
Robert Williams III,7.983333333333333,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,-3.0,"OCT 27, 2018 - BOS @ DET"
Brad Wanamaker,5.25,1.0,3.0,33.3,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,-9.0,"OCT 27, 2018 - BOS @ DET"
Guerschon Yabusele,5.25,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0,"OCT 27, 2018 - BOS @ DET"
Semi Ojeleye,5.25,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-9.0,"OCT 27, 2018 - BOS @ DET"
Jayson Tatum F,34.43333333333333,8.0,18.0,44.4,1.0,3.0,33.3,7.0,7.0,100.0,1.0,5.0,6.0,1.0,2.0,1.0,0.0,4.0,24.0,14.0,"OCT 25, 2018 - BOS @ OKC"
Gordon Hayward F,23.683333333333334,1.0,5.0,20.0,1.0,4.0,25.0,2.0,4.0,50.0,0.0,7.0,7.0,1.0,2.0,0.0,0.0,3.0,5.0,-13.0,"OCT 25, 2018 - BOS @ OKC"
Al Horford C,31.45,7.0,16.0,43.8,3.0,5.0,60.0,2.0,2.0,100.0,3.0,6.0,9.0,2.0,1.0,1.0,1.0,4.0,19.0,2.0,"OCT 25, 2018 - BOS @ OKC"
Jaylen Brown G,23.783333333333335,1.0,8.0,12.5,0.0,2.0,0.0,4.0,6.0,66.7,3.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,6.0,-11.0,"OCT 25, 2018 - BOS @ OKC"
Kyrie Irving G,33.53333333333333,6.0,13.0,46.2,2.0,6.0,33.3,1.0,4.0,25.0,1.0,4.0,5.0,5.0,3.0,0.0,0.0,3.0,15.0,2.0,"OCT 25, 2018 - BOS @ OKC"
Marcus Morris Sr.,29.616666666666667,5.0,10.0,50.0,4.0,5.0,80.0,7.0,8.0,87.5,0.0,10.0,10.0,1.0,2.0,0.0,0.0,4.0,21.0,16.0,"OCT 25, 2018 - BOS @ OKC"
Marcus Smart,21.383333333333333,1.0,4.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,13.0,"OCT 25, 2018 - BOS @ OKC"
Terry Rozier,24.95,2.0,5.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,4.0,0.0,1.0,4.0,3.0,"OCT 25, 2018 - BOS @ OKC"
Daniel Theis,8.7,2.0,5.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,-1.0,"OCT 25, 2018 - BOS @ OKC"
Semi Ojeleye,8.45,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,"OCT 25, 2018 - BOS @ OKC"
Jayson Tatum F,34.416666666666664,3.0,12.0,25.0,0.0,5.0,0.0,1.0,2.0,50.0,2.0,8.0,10.0,4.0,0.0,0.0,0.0,2.0,7.0,2.0,"OCT 22, 2018 - BOS vs. ORL"
Gordon Hayward F,24.933333333333334,4.0,8.0,50.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,1.0,0.0,3.0,11.0,-1.0,"OCT 22, 2018 - BOS vs. ORL"
Al Horford C,32.233333333333334,5.0,13.0,38.5,1.0,7.0,14.3,4.0,4.0,100.0,1.0,5.0,6.0,4.0,0.0,0.0,1.0,0.0,15.0,-12.0,"OCT 22, 2018 - BOS vs. ORL"
Jaylen Brown G,31.283333333333335,2.0,9.0,22.2,1.0,4.0,25.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,1.0,0.0,1.0,3.0,5.0,-15.0,"OCT 22, 2018 - BOS vs. ORL"
Kyrie Irving G,34.016666666666666,10.0,19.0,52.6,2.0,8.0,25.0,0.0,0.0,0.0,1.0,7.0,8.0,5.0,4.0,2.0,1.0,1.0,22.0,-8.0,"OCT 22, 2018 - BOS vs. ORL"
Marcus Morris Sr.,20.316666666666666,3.0,5.0,60.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,7.0,7.0,0.0,1.0,0.0,0.0,2.0,7.0,-8.0,"OCT 22, 2018 - BOS vs. ORL"
Marcus Smart,19.333333333333332,4.0,8.0,50.0,1.0,4.0,25.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,9.0,5.0,"OCT 22, 2018 - BOS vs. ORL"
Terry Rozier,15.483333333333333,2.0,9.0,22.2,1.0,5.0,20.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,"OCT 22, 2018 - BOS vs. ORL"
Daniel Theis,15.066666666666666,3.0,5.0,60.0,0.0,0.0,0.0,1.0,1.0,100.0,2.0,4.0,6.0,1.0,2.0,0.0,0.0,3.0,7.0,6.0,"OCT 22, 2018 - BOS vs. ORL"
Guerschon Yabusele,2.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"OCT 22, 2018 - BOS vs. ORL"
Semi Ojeleye,6.9,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,"OCT 22, 2018 - BOS vs. ORL"
Robert Williams III,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"OCT 22, 2018 - BOS vs. ORL"
Al Horford F,23.916666666666668,3.0,7.0,42.9,2.0,3.0,66.7,0.0,2.0,0.0,2.0,8.0,10.0,3.0,2.0,1.0,1.0,4.0,8.0,1.0,"OCT 20, 2018 - BOS @ NYK"
Jayson Tatum F,35.18333333333333,8.0,15.0,53.3,2.0,3.0,66.7,6.0,6.0,100.0,1.0,13.0,14.0,0.0,4.0,2.0,0.0,2.0,24.0,19.0,"OCT 20, 2018 - BOS @ NYK"
Aron Baynes C,11.65,3.0,5.0,60.0,1.0,2.0,50.0,3.0,3.0,100.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,10.0,15.0,"OCT 20, 2018 - BOS @ NYK"
Jaylen Brown G,38.46666666666667,2.0,9.0,22.2,0.0,2.0,0.0,3.0,3.0,100.0,2.0,3.0,5.0,2.0,2.0,1.0,0.0,3.0,7.0,1.0,"OCT 20, 2018 - BOS @ NYK"
Kyrie Irving G,32.083333333333336,5.0,16.0,31.3,0.0,3.0,0.0,6.0,7.0,85.7,0.0,1.0,1.0,5.0,2.0,2.0,0.0,3.0,16.0,-13.0,"OCT 20, 2018 - BOS @ NYK"
Terry Rozier,22.866666666666667,4.0,8.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,10.0,0.0,"OCT 20, 2018 - BOS @ NYK"
Marcus Smart,28.016666666666666,2.0,5.0,40.0,0.0,2.0,0.0,4.0,6.0,66.7,2.0,2.0,4.0,5.0,3.0,2.0,0.0,4.0,8.0,7.0,"OCT 20, 2018 - BOS @ NYK"
Marcus Morris Sr.,25.65,4.0,12.0,33.3,2.0,5.0,40.0,6.0,6.0,100.0,0.0,6.0,6.0,2.0,1.0,0.0,0.0,2.0,16.0,-17.0,"OCT 20, 2018 - BOS @ NYK"
Daniel Theis,14.066666666666666,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,-5.0,"OCT 20, 2018 - BOS @ NYK"
Guerschon Yabusele,5.783333333333333,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,"OCT 20, 2018 - BOS @ NYK"
Semi Ojeleye,2.316666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"OCT 20, 2018 - BOS @ NYK"
Jayson Tatum F,36.78333333333333,6.0,16.0,37.5,2.0,6.0,33.3,2.0,2.0,100.0,0.0,9.0,9.0,2.0,5.0,1.0,1.0,5.0,16.0,-14.0,"OCT 19, 2018 - BOS @ TOR"
Gordon Hayward F,24.283333333333335,6.0,13.0,46.2,1.0,3.0,33.3,1.0,1.0,100.0,2.0,5.0,7.0,2.0,1.0,1.0,0.0,0.0,14.0,-11.0,"OCT 19, 2018 - BOS @ TOR"
