Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,MATCHUP
Gordon Hayward,25.55,9.0,9.0,100.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,21.0,23.0,"APR 05, 2019 - BOS @ IND"
Terry Rozier,6.883333333333334,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,"APR 05, 2019 - BOS @ IND"
Daniel Theis,11.883333333333333,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,"APR 05, 2019 - BOS @ IND"
Brad Wanamaker,17.083333333333332,4.0,5.0,80.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,9.0,10.0,"APR 05, 2019 - BOS @ IND"
Guerschon Yabusele,4.833333333333333,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,-1.0,"APR 05, 2019 - BOS @ IND"
Robert Williams III,3.3833333333333333,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.0,"APR 05, 2019 - BOS @ IND"
Semi Ojeleye,3.3833333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,"APR 05, 2019 - BOS @ IND"
Jayson Tatum F,39.016666666666666,6.0,17.0,35.3,1.0,3.0,33.3,3.0,4.0,75.0,0.0,7.0,7.0,3.0,3.0,1.0,1.0,0.0,16.0,16.0,"APR 03, 2019 - BOS @ MIA"
Al Horford F,35.25,10.0,16.0,62.5,1.0,2.0,50.0,0.0,0.0,0.0,2.0,6.0,8.0,4.0,1.0,1.0,1.0,1.0,21.0,14.0,"APR 03, 2019 - BOS @ MIA"
Aron Baynes C,24.75,3.0,3.0,100.0,0.0,0.0,0.0,4.0,4.0,100.0,3.0,7.0,10.0,0.0,2.0,1.0,2.0,2.0,10.0,1.0,"APR 03, 2019 - BOS @ MIA"
Marcus Smart G,29.233333333333334,3.0,4.0,75.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,3.0,4.0,3.0,4.0,0.0,4.0,8.0,10.0,"APR 03, 2019 - BOS @ MIA"
Kyrie Irving G,32.36666666666667,8.0,19.0,42.1,3.0,9.0,33.3,4.0,5.0,80.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,5.0,23.0,4.0,"APR 03, 2019 - BOS @ MIA"
Gordon Hayward,32.2,5.0,10.0,50.0,3.0,5.0,60.0,12.0,13.0,92.3,0.0,8.0,8.0,5.0,0.0,0.0,1.0,3.0,25.0,16.0,"APR 03, 2019 - BOS @ MIA"
Semi Ojeleye,7.3,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-11.0,"APR 03, 2019 - BOS @ MIA"
Terry Rozier,23.8,1.0,5.0,20.0,1.0,3.0,33.3,2.0,2.0,100.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,5.0,-4.0,"APR 03, 2019 - BOS @ MIA"
Brad Wanamaker,12.966666666666667,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,6.0,"APR 03, 2019 - BOS @ MIA"
Daniel Theis,3.1166666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-2.0,"APR 03, 2019 - BOS @ MIA"
Jayson Tatum F,33.516666666666666,7.0,15.0,46.7,4.0,7.0,57.1,1.0,2.0,50.0,1.0,5.0,6.0,5.0,0.0,1.0,0.0,0.0,19.0,15.0,"APR 01, 2019 - BOS vs. MIA"
Al Horford F,34.06666666666667,7.0,13.0,53.8,0.0,1.0,0.0,5.0,5.0,100.0,4.0,7.0,11.0,10.0,1.0,1.0,0.0,1.0,19.0,10.0,"APR 01, 2019 - BOS vs. MIA"
Aron Baynes C,25.166666666666668,0.0,7.0,0.0,0.0,1.0,0.0,4.0,4.0,100.0,3.0,8.0,11.0,0.0,1.0,0.0,1.0,4.0,4.0,3.0,"APR 01, 2019 - BOS vs. MIA"
Marcus Smart G,26.35,6.0,11.0,54.5,4.0,8.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,16.0,6.0,"APR 01, 2019 - BOS vs. MIA"
Kyrie Irving G,32.53333333333333,7.0,19.0,36.8,5.0,11.0,45.5,6.0,6.0,100.0,1.0,7.0,8.0,3.0,6.0,2.0,0.0,4.0,25.0,17.0,"APR 01, 2019 - BOS vs. MIA"
Marcus Morris Sr.,24.383333333333333,3.0,11.0,27.3,2.0,5.0,40.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,8.0,-5.0,"APR 01, 2019 - BOS vs. MIA"
Gordon Hayward,28.983333333333334,4.0,7.0,57.1,1.0,3.0,33.3,2.0,2.0,100.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,11.0,-10.0,"APR 01, 2019 - BOS vs. MIA"
Terry Rozier,20.133333333333333,1.0,5.0,20.0,1.0,4.0,25.0,2.0,2.0,100.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,5.0,-12.0,"APR 01, 2019 - BOS vs. MIA"
Semi Ojeleye,5.933333333333334,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-6.0,"APR 01, 2019 - BOS vs. MIA"
Daniel Theis,6.383333333333334,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,"APR 01, 2019 - BOS vs. MIA"
Guerschon Yabusele,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,"APR 01, 2019 - BOS vs. MIA"
Jayson Tatum F,30.35,4.0,9.0,44.4,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,4.0,9.0,-12.0,"MAR 30, 2019 - BOS @ BKN"
Marcus Morris Sr. F,29.183333333333334,4.0,11.0,36.4,2.0,3.0,66.7,6.0,7.0,85.7,1.0,4.0,5.0,0.0,2.0,1.0,0.0,3.0,16.0,-19.0,"MAR 30, 2019 - BOS @ BKN"
Aron Baynes C,17.15,1.0,4.0,25.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,-9.0,"MAR 30, 2019 - BOS @ BKN"
Marcus Smart G,22.0,3.0,10.0,30.0,1.0,4.0,25.0,2.0,2.0,100.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,-17.0,"MAR 30, 2019 - BOS @ BKN"
Terry Rozier G,27.116666666666667,1.0,8.0,12.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,0.0,3.0,2.0,-23.0,"MAR 30, 2019 - BOS @ BKN"
Robert Williams III,8.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,"MAR 30, 2019 - BOS @ BKN"
Jaylen Brown,31.5,3.0,10.0,30.0,1.0,3.0,33.3,2.0,4.0,50.0,0.0,6.0,6.0,3.0,4.0,1.0,1.0,1.0,9.0,-10.0,"MAR 30, 2019 - BOS @ BKN"
Gordon Hayward,28.783333333333335,7.0,12.0,58.3,1.0,3.0,33.3,4.0,6.0,66.7,0.0,6.0,6.0,3.0,2.0,1.0,0.0,2.0,19.0,-8.0,"MAR 30, 2019 - BOS @ BKN"
Brad Wanamaker,12.9,3.0,3.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,6.0,8.0,13.0,"MAR 30, 2019 - BOS @ BKN"
Semi Ojeleye,9.05,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,11.0,"MAR 30, 2019 - BOS @ BKN"
Daniel Theis,20.05,7.0,9.0,77.8,0.0,0.0,0.0,2.0,2.0,100.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,3.0,16.0,1.0,"MAR 30, 2019 - BOS @ BKN"
Guerschon Yabusele,2.066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"MAR 30, 2019 - BOS @ BKN"
Greg Monroe,1.45,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,"MAR 30, 2019 - BOS @ BKN"
Jayson Tatum F,23.733333333333334,3.0,6.0,50.0,3.0,3.0,100.0,2.0,4.0,50.0,0.0,5.0,5.0,4.0,4.0,0.0,0.0,2.0,11.0,16.0,"MAR 29, 2019 - BOS vs. IND"
Al Horford F,34.65,8.0,15.0,53.3,1.0,3.0,33.3,2.0,2.0,100.0,2.0,5.0,7.0,2.0,0.0,0.0,3.0,1.0,19.0,11.0,"MAR 29, 2019 - BOS vs. IND"
Aron Baynes C,32.78333333333333,6.0,10.0,60.0,1.0,1.0,100.0,0.0,0.0,0.0,4.0,9.0,13.0,2.0,1.0,0.0,1.0,3.0,13.0,4.0,"MAR 29, 2019 - BOS vs. IND"
Marcus Smart G,28.533333333333335,2.0,5.0,40.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,4.0,0.0,3.0,6.0,4.0,"MAR 29, 2019 - BOS vs. IND"
Kyrie Irving G,35.1,11.0,22.0,50.0,3.0,8.0,37.5,5.0,5.0,100.0,0.0,2.0,2.0,5.0,1.0,3.0,0.0,3.0,30.0,15.0,"MAR 29, 2019 - BOS vs. IND"
Marcus Morris Sr.,20.433333333333334,3.0,8.0,37.5,1.0,5.0,20.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,-16.0,"MAR 29, 2019 - BOS vs. IND"
Gordon Hayward,22.216666666666665,4.0,7.0,57.1,1.0,3.0,33.3,2.0,2.0,100.0,0.0,6.0,6.0,2.0,3.0,0.0,0.0,3.0,11.0,-12.0,"MAR 29, 2019 - BOS vs. IND"
Jaylen Brown,27.3,7.0,10.0,70.0,1.0,1.0,100.0,1.0,2.0,50.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,2.0,16.0,-7.0,"MAR 29, 2019 - BOS vs. IND"
Terry Rozier,15.233333333333333,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,-5.0,"MAR 29, 2019 - BOS vs. IND"
Jayson Tatum F,33.75,9.0,17.0,52.9,3.0,5.0,60.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0,1.0,1.0,0.0,4.0,21.0,17.0,"MAR 26, 2019 - BOS @ CLE"
Al Horford F,26.5,7.0,10.0,70.0,0.0,1.0,0.0,5.0,6.0,83.3,2.0,6.0,8.0,5.0,2.0,0.0,1.0,1.0,19.0,11.0,"MAR 26, 2019 - BOS @ CLE"
Aron Baynes C,24.833333333333332,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,5.0,4.0,8.0,"MAR 26, 2019 - BOS @ CLE"
Marcus Smart G,33.11666666666667,8.0,14.0,57.1,2.0,5.0,40.0,3.0,3.0,100.0,1.0,5.0,6.0,4.0,1.0,3.0,1.0,1.0,21.0,18.0,"MAR 26, 2019 - BOS @ CLE"
Terry Rozier G,29.033333333333335,5.0,13.0,38.5,1.0,3.0,33.3,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,2.0,0.0,1.0,11.0,-3.0,"MAR 26, 2019 - BOS @ CLE"
Marcus Morris Sr.,29.316666666666666,4.0,15.0,26.7,2.0,7.0,28.6,4.0,5.0,80.0,1.0,5.0,6.0,2.0,0.0,1.0,0.0,2.0,14.0,6.0,"MAR 26, 2019 - BOS @ CLE"
Gordon Hayward,30.233333333333334,7.0,12.0,58.3,0.0,1.0,0.0,1.0,2.0,50.0,0.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0,15.0,4.0,"MAR 26, 2019 - BOS @ CLE"
Daniel Theis,9.033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,-4.0,"MAR 26, 2019 - BOS @ CLE"
Jaylen Brown,17.866666666666667,3.0,7.0,42.9,2.0,3.0,66.7,1.0,3.0,33.3,1.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,9.0,-6.0,"MAR 26, 2019 - BOS @ CLE"
Guerschon Yabusele,6.316666666666666,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,-1.0,"MAR 26, 2019 - BOS @ CLE"
Gordon Hayward F,33.583333333333336,4.0,11.0,36.4,0.0,2.0,0.0,5.0,5.0,100.0,2.0,8.0,10.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,"MAR 24, 2019 - BOS vs. SAS"
Marcus Morris Sr. F,28.866666666666667,6.0,13.0,46.2,1.0,7.0,14.3,0.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,1.0,0.0,1.0,13.0,-17.0,"MAR 24, 2019 - BOS vs. SAS"
Aron Baynes C,21.35,4.0,6.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0,1.0,1.0,0.0,2.0,9.0,-8.0,"MAR 24, 2019 - BOS vs. SAS"
Marcus Smart G,33.6,6.0,14.0,42.9,1.0,5.0,20.0,1.0,2.0,50.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,14.0,-22.0,"MAR 24, 2019 - BOS vs. SAS"
Kyrie Irving G,33.81666666666667,5.0,17.0,29.4,1.0,5.0,20.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,1.0,2.0,1.0,3.0,11.0,-14.0,"MAR 24, 2019 - BOS vs. SAS"
Guerschon Yabusele,8.133333333333333,2.0,3.0,66.7,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,-2.0,"MAR 24, 2019 - BOS vs. SAS"
Jaylen Brown,24.533333333333335,1.0,8.0,12.5,0.0,5.0,0.0,5.0,6.0,83.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,-26.0,"MAR 24, 2019 - BOS vs. SAS"
Terry Rozier,19.966666666666665,2.0,8.0,25.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,4.0,-9.0,"MAR 24, 2019 - BOS vs. SAS"
Semi Ojeleye,7.533333333333333,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,"MAR 24, 2019 - BOS vs. SAS"
Daniel Theis,18.516666666666666,5.0,8.0,62.5,1.0,3.0,33.3,0.0,0.0,0.0,4.0,3.0,7.0,1.0,1.0,0.0,1.0,3.0,11.0,-9.0,"MAR 24, 2019 - BOS vs. SAS"
PJ Dozier,3.3666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,"MAR 24, 2019 - BOS vs. SAS"
Greg Monroe,3.3666666666666667,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,"MAR 24, 2019 - BOS vs. SAS"
Brad Wanamaker,3.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,"MAR 24, 2019 - BOS vs. SAS"
Jayson Tatum F,36.86666666666667,5.0,17.0,29.4,2.0,7.0,28.6,0.0,0.0,0.0,1.0,5.0,6.0,4.0,1.0,0.0,1.0,1.0,12.0,-19.0,"MAR 23, 2019 - BOS @ CHA"
Marcus Morris Sr. F,35.483333333333334,6.0,13.0,46.2,3.0,5.0,60.0,0.0,0.0,0.0,3.0,6.0,9.0,4.0,1.0,1.0,1.0,4.0,15.0,-6.0,"MAR 23, 2019 - BOS @ CHA"
Robert Williams III C,9.533333333333333,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,-11.0,"MAR 23, 2019 - BOS @ CHA"
Marcus Smart G,25.283333333333335,2.0,10.0,20.0,2.0,7.0,28.6,0.0,0.0,0.0,0.0,2.0,2.0,8.0,3.0,1.0,0.0,5.0,6.0,-6.0,"MAR 23, 2019 - BOS @ CHA"
Kyrie Irving G,34.71666666666667,12.0,23.0,52.2,4.0,11.0,36.4,3.0,4.0,75.0,0.0,7.0,7.0,6.0,3.0,2.0,0.0,5.0,31.0,-10.0,"MAR 23, 2019 - BOS @ CHA"
Daniel Theis,16.216666666666665,2.0,3.0,66.7,0.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,2.0,5.0,15.0,"MAR 23, 2019 - BOS @ CHA"
Jaylen Brown,30.366666666666667,10.0,13.0,76.9,5.0,6.0,83.3,4.0,7.0,57.1,0.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,29.0,3.0,"MAR 23, 2019 - BOS @ CHA"
Semi Ojeleye,11.016666666666667,1.0,3.0,33.3,1.0,2.0,50.0,2.0,2.0,100.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,5.0,-3.0,"MAR 23, 2019 - BOS @ CHA"
Terry Rozier,22.583333333333332,5.0,8.0,62.5,2.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,-1.0,"MAR 23, 2019 - BOS @ CHA"
Guerschon Yabusele,17.933333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,"MAR 23, 2019 - BOS @ CHA"
Jayson Tatum F,33.05,6.0,12.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,5.0,6.0,4.0,1.0,0.0,1.0,3.0,13.0,-17.0,"MAR 20, 2019 - BOS @ PHI"
Marcus Morris Sr. F,34.983333333333334,2.0,9.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,3.0,1.0,0.0,1.0,4.0,4.0,-14.0,"MAR 20, 2019 - BOS @ PHI"
Al Horford C,34.916666666666664,9.0,16.0,56.3,2.0,4.0,50.0,2.0,2.0,100.0,1.0,5.0,6.0,5.0,1.0,1.0,0.0,4.0,22.0,6.0,"MAR 20, 2019 - BOS @ PHI"
Marcus Smart G,19.2,1.0,4.0,25.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,4.0,3.0,0.0,"MAR 20, 2019 - BOS @ PHI"
Kyrie Irving G,35.7,12.0,29.0,41.4,3.0,13.0,23.1,9.0,11.0,81.8,2.0,7.0,9.0,4.0,3.0,0.0,1.0,2.0,36.0,-6.0,"MAR 20, 2019 - BOS @ PHI"
Aron Baynes,12.25,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,"MAR 20, 2019 - BOS @ PHI"
Jaylen Brown,28.35,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,6.0,10.0,"MAR 20, 2019 - BOS @ PHI"
Terry Rozier,23.583333333333332,8.0,16.0,50.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,1.0,20.0,9.0,"MAR 20, 2019 - BOS @ PHI"
Daniel Theis,6.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,"MAR 20, 2019 - BOS @ PHI"
Semi Ojeleye,11.166666666666666,2.0,2.0,100.0,1.0,1.0,100.0,2.0,2.0,100.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,"MAR 20, 2019 - BOS @ PHI"
Jayson Tatum F,36.36666666666667,3.0,12.0,25.0,1.0,5.0,20.0,1.0,2.0,50.0,0.0,7.0,7.0,6.0,1.0,1.0,1.0,1.0,8.0,-9.0,"MAR 18, 2019 - BOS vs. DEN"
Marcus Morris Sr. F,35.5,4.0,7.0,57.1,2.0,3.0,66.7,3.0,3.0,100.0,2.0,3.0,5.0,1.0,3.0,1.0,0.0,5.0,13.0,-5.0,"MAR 18, 2019 - BOS vs. DEN"
Al Horford C,33.31666666666667,8.0,15.0,53.3,4.0,8.0,50.0,0.0,0.0,0.0,2.0,4.0,6.0,6.0,1.0,1.0,1.0,1.0,20.0,-2.0,"MAR 18, 2019 - BOS vs. DEN"
Marcus Smart G,33.083333333333336,5.0,11.0,45.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,2.0,0.0,3.0,10.0,-10.0,"MAR 18, 2019 - BOS vs. DEN"
Kyrie Irving G,36.18333333333333,10.0,23.0,43.5,2.0,8.0,25.0,8.0,8.0,100.0,1.0,4.0,5.0,4.0,1.0,4.0,1.0,1.0,30.0,-2.0,"MAR 18, 2019 - BOS vs. DEN"
Aron Baynes,17.55,2.0,5.0,40.0,0.0,0.0,0.0,1.0,2.0,50.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,5.0,-4.0,"MAR 18, 2019 - BOS vs. DEN"
Jaylen Brown,19.966666666666665,2.0,6.0,33.3,1.0,4.0,25.0,1.0,2.0,50.0,3.0,1.0,4.0,1.0,3.0,2.0,0.0,2.0,6.0,-4.0,"MAR 18, 2019 - BOS vs. DEN"
Terry Rozier,20.9,3.0,9.0,33.3,1.0,6.0,16.7,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,7.0,-9.0,"MAR 18, 2019 - BOS vs. DEN"
Daniel Theis,7.15,2.0,5.0,40.0,1.0,2.0,50.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,"MAR 18, 2019 - BOS vs. DEN"
Jayson Tatum F,32.6,7.0,15.0,46.7,0.0,2.0,0.0,4.0,4.0,100.0,1.0,7.0,8.0,4.0,2.0,1.0,0.0,1.0,18.0,0.0,"MAR 16, 2019 - BOS vs. ATL"
Marcus Morris Sr. F,32.6,6.0,14.0,42.9,2.0,6.0,33.3,5.0,6.0,83.3,3.0,8.0,11.0,0.0,3.0,1.0,2.0,1.0,19.0,13.0,"MAR 16, 2019 - BOS vs. ATL"
Al Horford C,28.35,3.0,8.0,37.5,0.0,1.0,0.0,3.0,4.0,75.0,1.0,5.0,6.0,3.0,3.0,0.0,1.0,3.0,9.0,11.0,"MAR 16, 2019 - BOS vs. ATL"
Marcus Smart G,34.233333333333334,5.0,9.0,55.6,2.0,6.0,33.3,4.0,4.0,100.0,1.0,0.0,1.0,9.0,1.0,5.0,1.0,4.0,16.0,10.0,"MAR 16, 2019 - BOS vs. ATL"
Kyrie Irving G,35.88333333333333,12.0,24.0,50.0,4.0,10.0,40.0,2.0,3.0,66.7,2.0,9.0,11.0,9.0,3.0,1.0,2.0,2.0,30.0,13.0,"MAR 16, 2019 - BOS vs. ATL"
Aron Baynes,17.416666666666668,1.0,2.0,50.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,4.0,5.0,18.0,"MAR 16, 2019 - BOS vs. ATL"
Gordon Hayward,1.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,"MAR 16, 2019 - BOS vs. ATL"
Terry Rozier,16.816666666666666,1.0,5.0,20.0,1.0,4.0,25.0,2.0,4.0,50.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,5.0,-3.0,"MAR 16, 2019 - BOS vs. ATL"
Jaylen Brown,26.416666666666668,8.0,14.0,57.1,3.0,5.0,60.0,4.0,6.0,66.7,0.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,23.0,3.0,"MAR 16, 2019 - BOS vs. ATL"
Daniel Theis,8.8,1.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,-13.0,"MAR 16, 2019 - BOS vs. ATL"
Semi Ojeleye,5.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-12.0,"MAR 16, 2019 - BOS vs. ATL"
Jayson Tatum F,29.216666666666665,7.0,10.0,70.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,4.0,15.0,-5.0,"MAR 14, 2019 - BOS vs. SAC"
Marcus Morris Sr. F,35.61666666666667,7.0,15.0,46.7,3.0,7.0,42.9,4.0,5.0,80.0,1.0,12.0,13.0,2.0,1.0,2.0,0.0,0.0,21.0,-7.0,"MAR 14, 2019 - BOS vs. SAC"
Al Horford C,29.233333333333334,5.0,9.0,55.6,1.0,2.0,50.0,1.0,3.0,33.3,1.0,4.0,5.0,6.0,1.0,1.0,1.0,1.0,12.0,1.0,"MAR 14, 2019 - BOS vs. SAC"
Marcus Smart G,29.283333333333335,3.0,5.0,60.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,4.0,6.0,4.0,4.0,1.0,0.0,3.0,7.0,-8.0,"MAR 14, 2019 - BOS vs. SAC"
Kyrie Irving G,37.6,11.0,28.0,39.3,1.0,9.0,11.1,8.0,9.0,88.9,3.0,7.0,10.0,12.0,2.0,1.0,1.0,2.0,31.0,3.0,"MAR 14, 2019 - BOS vs. SAC"
Aron Baynes,19.35,3.0,6.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,1.0,1.0,0.0,0.0,5.0,6.0,15.0,"MAR 14, 2019 - BOS vs. SAC"
Gordon Hayward,19.216666666666665,3.0,7.0,42.9,0.0,1.0,0.0,4.0,5.0,80.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,1.0,10.0,7.0,"MAR 14, 2019 - BOS vs. SAC"
Jaylen Brown,31.683333333333334,9.0,16.0,56.3,3.0,4.0,75.0,1.0,3.0,33.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,22.0,19.0,"MAR 14, 2019 - BOS vs. SAC"
